date,close
20160701,2.142
20160704,2.177
20160705,2.185
20160706,2.184
20160707,2.189
20160708,2.177
20160711,2.188
20160712,2.233
20160713,2.236
20160714,2.233
20160715,2.236
20160718,2.228
20160719,2.216
20160720,2.209
20160721,2.22
20160722,2.2
20160725,2.201
20160726,2.227
20160727,2.215
20160728,2.211
20160729,2.201
20160801,2.19
20160802,2.19
20160803,2.188
20160804,2.186
20160805,2.195
20160808,2.204
20160809,2.221
20160810,2.216
20160811,2.223
20160812,2.272
20160815,2.336
20160816,2.306
20160817,2.3
20160818,2.29
20160819,2.301
20160822,2.287
20160823,2.29
20160824,2.28
20160825,2.269
20160826,2.267
20160829,2.265
20160830,2.276
20160831,2.284
20160901,2.268
20160902,2.279
20160905,2.28
20160906,2.286
20160907,2.29
20160908,2.29
20160909,2.28
20160912,2.25
20160913,2.242
20160914,2.229
20160919,2.242
20160920,2.239
20160921,2.243
20160922,2.255
20160923,2.249
20160926,2.222
20160927,2.229
20160928,2.219
20160929,2.23
20160930,2.235
20161010,2.262
20161011,2.265
20161012,2.257
20161013,2.257
20161014,2.266
20161017,2.25
20161018,2.282
20161019,2.279
20161020,2.28
20161021,2.295
20161024,2.324
20161025,2.319
20161026,2.311
20161027,2.305
20161028,2.307
20161031,2.305
20161101,2.316
20161102,2.3
20161103,2.327
20161104,2.324
20161107,2.33
20161108,2.338
20161109,2.32
20161110,2.344
20161111,2.363
20161114,2.374
20161115,2.366
20161116,2.361
20161117,2.369
20161118,2.363
20161121,2.39
20161122,2.408
20161123,2.415
20161124,2.425
20161125,2.451
20161128,2.46
20161129,2.446
20161130,2.419
20161201,2.433
20161202,2.416
20161205,2.373
20161206,2.368
20161207,2.375
20161208,2.38
20161209,2.413
20161212,2.386
20161213,2.371
20161214,2.36
20161215,2.308
20161216,2.301
20161219,2.293
20161220,2.281
20161221,2.298
20161222,2.292
20161223,2.279
20161226,2.298
20161227,2.289
20161228,2.278
20161229,2.278
20161230,2.287
20170103,2.307
20170104,2.325
20170105,2.322
20170106,2.314
20170109,2.319
20170110,2.313
20170111,2.303
20170112,2.296
20170113,2.31
20170116,2.339
20170117,2.329
20170118,2.344
20170119,2.334
20170120,2.349
20170123,2.348
20170124,2.354
20170125,2.357
20170126,2.366
20170203,2.342
20170206,2.343
20170207,2.335
20170208,2.348
20170209,2.354
20170210,2.366
20170213,2.378
20170214,2.37
20170215,2.369
20170216,2.372
20170217,2.361
20170220,2.395
20170221,2.393
20170222,2.396
20170223,2.387
20170224,2.385
20170227,2.367
20170228,2.368
20170301,2.368
20170302,2.353
20170303,2.343
20170306,2.349
20170307,2.354
20170308,2.355
20170309,2.343
20170310,2.335
20170313,2.355
20170314,2.351
20170315,2.354
20170316,2.369
20170317,2.343
20170320,2.347
20170321,2.353
20170322,2.336
20170323,2.344
20170324,2.364
20170327,2.36
20170328,2.354
20170329,2.352
20170330,2.343
20170331,2.356
20170405,2.382
20170406,2.384
20170407,2.384
20170410,2.377
20170411,2.378
20170412,2.374
20170413,2.367
20170414,2.35
20170417,2.353
20170418,2.338
20170419,2.322
20170420,2.331
20170421,2.341
20170424,2.336
20170425,2.342
20170426,2.339
20170427,2.344
20170428,2.34
20170502,2.332
20170503,2.325
20170504,2.32
20170505,2.313
20170508,2.318
20170509,2.315
20170510,2.321
20170511,2.334
20170512,2.37
20170515,2.374
20170516,2.379
20170517,2.358
20170518,2.35
20170519,2.355
20170522,2.373
20170523,2.403
20170524,2.399
20170525,2.47
20170526,2.466
20170531,2.475
20170601,2.49
20170602,2.47
20170605,2.442
20170606,2.457
20170607,2.48
20170608,2.501
20170609,2.517
20170612,2.514
20170613,2.512
20170614,2.482
20170615,2.465
20170616,2.46
20170619,2.497
20170620,2.483
20170621,2.509
20170622,2.524
20170623,2.543
20170626,2.554
20170627,2.564
20170628,2.548
20170629,2.565
20170630,2.558
20170703,2.543
20170704,2.52
20170705,2.563
20170706,2.567
20170707,2.561
20170710,2.575
20170711,2.604
20170712,2.597
20170713,2.638
20170714,2.665
20170717,2.669
20170718,2.659
20170719,2.702
20170720,2.71
20170721,2.68
20170724,2.7
20170725,2.683
20170726,2.677
20170727,2.677
20170728,2.68
20170731,2.682
20170801,2.724
20170802,2.728
20170803,2.689
20170804,2.671
20170807,2.679
20170808,2.682
