,trade_date,wind_id,K,end_date,settle,contract_multiplier,trade_date,wind_id,K,end_date,settle,contract_multiplier
0,2016-07-22,10000649.SH,2.2,20160824,0.0435,10000.0,2016-07-22,10000641.SH,2.2,20160727,0.0112,10000.0
1,2016-07-25,10000641.SH,2.2,20160727,0.0073,10000.0,2016-07-25,10000649.SH,2.2,20160824,0.0405,10000.0
2,2016-10-18,10000701.SH,2.3,20161026,0.0096,10000.0,2016-10-18,10000717.SH,2.3,20161123,0.0224,10000.0
3,2016-10-19,10000717.SH,2.3,20161123,0.0225,10000.0,2016-10-19,10000701.SH,2.3,20161026,0.0056,10000.0
4,2016-12-20,10000749.SH,2.25,20170125,0.0608,10220.0,2016-12-20,10000661.SH,2.25,20161228,0.0346,10220.0
5,2016-12-21,10000661.SH,2.25,20161228,0.0535,10220.0,2016-12-21,10000749.SH,2.25,20170125,0.0727,10220.0
6,2017-04-13,10000858.SH,2.35,20170426,0.0291,10000.0,2017-04-13,10000871.SH,2.35,20170524,0.0386,10000.0
7,2017-04-14,10000871.SH,2.35,20170524,0.0307,10000.0,2017-04-14,10000858.SH,2.35,20170426,0.0176,10000.0
8,2017-05-12,10000798.SH,2.35,20170628,0.0296,10000.0,2017-05-12,10000871.SH,2.35,20170524,0.0197,10000.0
9,2017-05-15,10000871.SH,2.35,20170524,0.0235,10000.0,2017-05-15,10000798.SH,2.35,20170628,0.0335,10000.0
10,2017-05-16,10000798.SH,2.35,20170628,0.037,10000.0,2017-05-16,10000871.SH,2.35,20170524,0.0259,10000.0
11,2017-05-17,10000871.SH,2.35,20170524,0.0129,10000.0,2017-05-17,10000798.SH,2.35,20170628,0.0259,10000.0
12,2017-07-14,10000937.SH,2.65,20170823,0.0627,10000.0,2017-07-14,10000927.SH,2.65,20170726,0.0324,10000.0
13,2017-07-17,10000927.SH,2.65,20170726,0.0425,10000.0,2017-07-17,10000937.SH,2.65,20170823,0.0738,10000.0
14,2017-07-20,10000947.SH,2.7,20170823,0.0652,10000.0,2017-07-20,10000945.SH,2.7,20170726,0.0246,10000.0
15,2017-07-21,10000945.SH,2.7,20170726,0.0081,10000.0,2017-07-21,10000947.SH,2.7,20170823,0.045,10000.0
16,2017-12-20,10001073.SH,2.896,20180124,0.0529,10185.0,2017-12-20,10001037.SH,2.896,20171227,0.0148,10185.0
17,2017-12-21,10001037.SH,2.896,20171227,0.02,10185.0,2017-12-21,10001073.SH,2.896,20180124,0.0608,10185.0
18,2018-01-17,10001152.SH,3.1,20180124,0.0202,10000.0,2018-01-17,10001158.SH,3.1,20180228,0.0593,10000.0
19,2018-01-18,10001158.SH,3.1,20180228,0.0846,10000.0,2018-01-18,10001152.SH,3.1,20180124,0.0342,10000.0
20,2018-03-02,10001106.SH,2.85,20180328,0.0751,10000.0,2018-03-02,10001251.SH,2.85,20180425,0.1041,10000.0
21,2018-03-05,10001251.SH,2.85,20180425,0.0957,10000.0,2018-03-05,10001106.SH,2.85,20180328,0.0671,10000.0
22,2018-04-20,10001286.SH,2.65,20180523,0.068,10000.0,2018-04-20,10001247.SH,2.65,20180425,0.0205,10000.0
23,2018-04-23,10001247.SH,2.65,20180425,0.0263,10000.0,2018-04-23,10001286.SH,2.65,20180523,0.0772,10000.0
