,trade_date,trade_date_int,settle_1,settle_2,v1,v2,v2-v1,mean,std,v2-v1-mean,K,wind_id_1,wind_id_2,contract_multiplier_1,contract_multiplier_2,end_date_1,end_date_2
0,2016-07-01,20160701,0.027,0.048,0.12878093123435974,0.14849266409873962,0.019711732864379883,0.019711732864379883,,0.0,2.15,10000635.SH,10000648.SH,10000.0,10000.0,20160727,20160824
1,2016-07-04,20160704,0.0437,0.0605,0.12105992436408997,0.13022437691688538,0.00916445255279541,0.014438092708587646,0.007458053431396742,-0.005273640155792236,2.15,10000635.SH,10000648.SH,10000.0,10000.0,20160727,20160824
2,2016-07-05,20160705,0.0225,0.0397,0.1316218078136444,0.13625404238700867,0.004632234573364258,0.01116947333017985,0.007737111761858767,-0.006537238756815592,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
3,2016-07-06,20160706,0.022,0.038,0.13464507460594177,0.13396510481834412,-0.0006799697875976562,0.008207112550735474,0.0086608847408347,-0.00888708233833313,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
4,2016-07-07,20160707,0.024,0.0407,0.13713201880455017,0.1364547312259674,-0.0006772875785827637,0.006430232524871826,0.00848791532133088,-0.0071075201034545895,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
5,2016-07-08,20160708,0.0447,0.0624,0.14052996039390564,0.14305725693702698,0.002527296543121338,0.005779743194580078,0.007757227817629649,-0.0032524466514587402,2.15,10000635.SH,10000648.SH,10000.0,10000.0,20160727,20160824
6,2016-07-11,20160711,0.0204,0.0418,0.13711485266685486,0.1485086977481842,0.011393845081329346,0.006581757749829974,0.007392433808068096,0.004812087331499372,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
7,2016-07-12,20160712,0.0184,0.042,0.13938269019126892,0.15536460280418396,0.01598191261291504,0.007756777107715607,0.007608322634351929,0.008225135505199432,2.25,10000643.SH,10000655.SH,10000.0,10000.0,20160727,20160824
8,2016-07-13,20160713,0.0198,0.0455,0.14538529515266418,0.16423937678337097,0.018854081630706787,0.008989810943603516,0.008020854294203515,0.009864270687103271,2.25,10000643.SH,10000655.SH,10000.0,10000.0,20160727,20160824
9,2016-07-14,20160714,0.0179,0.0432,0.14726731181144714,0.16351011395454407,0.016242802143096924,0.009715110063552856,0.007902307132003916,0.006527692079544067,2.25,10000643.SH,10000655.SH,10000.0,10000.0,20160727,20160824
10,2016-07-15,20160715,0.0173,0.0449,0.1419355571269989,0.16664531826972961,0.024709761142730713,0.011078260161659935,0.008754528673625478,0.013631500981070778,2.25,10000643.SH,10000655.SH,10000.0,10000.0,20160727,20160824
11,2016-07-18,20160718,0.0115,0.0404,0.14444491267204285,0.17117241024971008,0.026727497577667236,0.012382363279660543,0.009491183159157012,0.014345134298006693,2.25,10000643.SH,10000655.SH,10000.0,10000.0,20160727,20160824
12,2016-07-19,20160719,0.0277,0.0545,0.13773450255393982,0.1577032506465912,0.019968748092651367,0.0129659313421983,0.009327531818989406,0.007002816750453068,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
13,2016-07-20,20160720,0.0222,0.0488,0.13814696669578552,0.1538715660572052,0.015724599361419678,0.01316297905785697,0.00899188034592211,0.0025616203035627085,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
14,2016-07-21,20160721,0.0268,0.0542,0.12456628680229187,0.1526409089565277,0.02807462215423584,0.01415708859761556,0.009481689689675353,0.01391753355662028,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
15,2016-07-22,20160722,0.0112,0.0435,0.10608616471290588,0.1573455035686493,0.05125933885574341,0.01647597923874855,0.013036295651056563,0.03478335961699486,2.2,10000641.SH,10000649.SH,10000.0,10000.0,20160727,20160824
16,2016-07-25,20160725,0.0405,0.0666,0.1517145335674286,0.1679345667362213,0.016220033168792725,0.01646092358757468,0.012622491630721926,-0.0002408904187819541,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
17,2016-07-26,20160726,0.0303,0.0547,0.15606865286827087,0.16603979468345642,0.009971141815185547,0.016100380155775283,0.0123407839839236,-0.006129238340589736,2.25,10000655.SH,10000595.SH,10000.0,10000.0,20160824,20160928
18,2016-07-27,20160727,0.0388,0.0608,0.1176852285861969,0.1332920491695404,0.015606820583343506,0.01607440333617361,0.011993620801370647,-0.0004675827528301049,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
19,2016-07-28,20160728,0.0395,0.0621,0.13327434659004211,0.14463385939598083,0.01135951280593872,0.015838658809661864,0.011721243875441148,-0.004479146003723143,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
20,2016-07-29,20160729,0.0355,0.0544,0.14263412356376648,0.13990625739097595,-0.0027278661727905273,0.014716678857803344,0.01238611694983969,-0.017444545030593873,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
21,2016-08-01,20160801,0.0277,0.0494,0.1419481337070465,0.14605584740638733,0.00410771369934082,0.014463841915130615,0.01255586749650676,-0.010356128215789795,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
22,2016-08-02,20160802,0.027,0.0456,0.14212170243263245,0.13649186491966248,-0.005629837512969971,0.013950738310813903,0.01317329097487993,-0.019580575823783874,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
23,2016-08-03,20160803,0.0228,0.0432,0.12998804450035095,0.13375672698020935,0.0037686824798583984,0.014173170924186707,0.012948894330368903,-0.010404488444328308,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
24,2016-08-04,20160804,0.0196,0.0415,0.12199029326438904,0.13299593329429626,0.011005640029907227,0.014757317304611207,0.012499423181534618,-0.00375167727470398,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
25,2016-08-05,20160805,0.0212,0.0434,0.11269882321357727,0.1266697347164154,0.013970911502838135,0.015329498052597045,0.012167630110562532,-0.0013585865497589104,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
26,2016-08-08,20160808,0.024,0.0452,0.113698810338974,0.12176695466041565,0.00806814432144165,0.015163213014602661,0.012246714075004583,-0.007095068693161011,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
27,2016-08-09,20160809,0.0308,0.051,0.09524920582771301,0.1100989282131195,0.014849722385406494,0.015106603503227234,0.012245347175818391,-0.00025688111782073975,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
28,2016-08-10,20160810,0.0285,0.0502,0.10620042681694031,0.11870589852333069,0.01250547170639038,0.014789173007011413,0.012225359909846087,-0.0022837013006210324,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
29,2016-08-11,20160811,0.0326,0.0513,0.10613909363746643,0.1096930205821991,0.003553926944732666,0.014154729247093201,0.012472699476319127,-0.010600802302360535,2.2,10000649.SH,10000591.SH,10000.0,10000.0,20160824,20160928
30,2016-08-12,20160812,0.0296,0.0495,0.09194990992546082,0.10458150506019592,0.012631595134735107,0.01355082094669342,0.01222468070147077,-0.0009192258119583123,2.25,10000655.SH,10000595.SH,10000.0,10000.0,20160824,20160928
31,2016-08-15,20160815,0.0204,0.0491,0.17939630150794983,0.1640435755252838,-0.015352725982666016,0.011446809768676758,0.013402015763783597,-0.026799535751342772,2.35,10000665.SH,10000667.SH,10000.0,10000.0,20160824,20160928
32,2016-08-16,20160816,0.0256,0.0565,0.16117683053016663,0.16063109040260315,-0.0005457401275634766,0.010421085357666015,0.013500140570400105,-0.010966825485229491,2.3,10000659.SH,10000599.SH,10000.0,10000.0,20160824,20160928
33,2016-08-17,20160817,0.0208,0.0541,0.16022971272468567,0.16539224982261658,0.005162537097930908,0.009892982244491578,0.013488336724038283,-0.00473044514656067,2.3,10000659.SH,10000599.SH,10000.0,10000.0,20160824,20160928
34,2016-08-18,20160818,0.0128,0.0492,0.14505097270011902,0.16831257939338684,0.023261606693267822,0.009652331471443176,0.013186434732216671,0.013609275221824646,2.3,10000659.SH,10000599.SH,10000.0,10000.0,20160824,20160928
35,2016-08-19,20160819,0.0155,0.0508,0.1365966498851776,0.1572616994380951,0.02066504955291748,0.00812261700630188,0.009310705573243034,0.012542432546615601,2.3,10000659.SH,10000599.SH,10000.0,10000.0,20160824,20160928
36,2016-08-25,20160825,0.0552,0.0686,0.1550242006778717,0.14628943800926208,-0.00873476266860962,0.006874877214431763,0.009826284665956938,-0.015609639883041381,2.25,10000595.SH,10000700.SH,10000.0,10000.0,20160928,20161026
37,2016-08-26,20160826,0.0516,0.0678,0.14850178360939026,0.14870533347129822,0.00020354986190795898,0.006386497616767883,0.0099066989507907,-0.006182947754859924,2.25,10000595.SH,10000700.SH,10000.0,10000.0,20160928,20161026
38,2016-08-29,20160829,0.0486,0.0649,0.14937147498130798,0.14815691113471985,-0.0012145638465881348,0.005545428395271302,0.009796145399259238,-0.006759992241859436,2.25,10000595.SH,10000700.SH,10000.0,10000.0,20160928,20161026
39,2016-08-30,20160830,0.032,0.0478,0.16097649931907654,0.15499237179756165,-0.005984127521514893,0.00467824637889862,0.010019485799650757,-0.010662373900413514,2.3,10000599.SH,10000701.SH,10000.0,10000.0,20160928,20161026
40,2016-08-31,20160831,0.0378,0.0537,0.1729179322719574,0.1624043881893158,-0.010513544082641602,0.004288962483406067,0.010463774536269907,-0.014802506566047669,2.3,10000599.SH,10000701.SH,10000.0,10000.0,20160928,20161026
41,2016-09-01,20160901,0.0515,0.0687,0.163056880235672,0.15872922539710999,-0.004327654838562012,0.0038671940565109253,0.010639985269590424,-0.008194848895072937,2.25,10000595.SH,10000700.SH,10000.0,10000.0,20160928,20161026
42,2016-09-02,20160902,0.031,0.0489,0.16104301810264587,0.15884730219841003,-0.00219571590423584,0.004038900136947632,0.010505517480688922,-0.006234616041183472,2.3,10000599.SH,10000701.SH,10000.0,10000.0,20160928,20161026
43,2016-09-05,20160905,0.0323,0.0507,0.1757456362247467,0.1678631603717804,-0.007882475852966309,0.0034563422203063967,0.01083903949568172,-0.011338818073272704,2.3,10000599.SH,10000701.SH,10000.0,10000.0,20160928,20161026
44,2016-09-06,20160906,0.0346,0.0535,0.17806753516197205,0.16941460967063904,-0.008652925491333008,0.0024734139442443848,0.011008442391294344,-0.011126339435577393,2.3,10000599.SH,10000701.SH,10000.0,10000.0,20160928,20161026
45,2016-09-07,20160907,0.0339,0.0545,0.17069599032402039,0.16836616396903992,-0.0023298263549804688,0.0016583770513534546,0.010711831231457266,-0.003988203406333923,2.3,10000599.SH,10000701.SH,10000.0,10000.0,20160928,20161026
